champion_chinese,champion_url,play_strats,counter_strats,champion_name_cn,champion_name_eng,play_strats_en,counter_strats_en
无极剑圣 易,https://lol.qq.com/data/info-defail.shtml?id=11,"
- 如果你在与远程玩家作战的兵线，升级冥想可以让你在线上呆得更久，比对手升级更快。
- 早期，无极剑道在给小兵们最后一击的时候很强。
- 试着在一名敌方英雄前使用阿尔法突袭来攻击小兵，这样在技能结束的时候，你就处于一个安全距离的位置了。","
- 冥想能够有效地治疗持续伤害，但Master Yi大师在游戏前期很容Master Yi被配合gank。
- 如果Master Yi大师试图用无极剑道补兵，则连续几次攻击他，令其不得不消耗法力使用冥想回复生命值。
- 虽然Master Yi大师在使用高原血统时不能被减速，但其它限制技能还能够阻止他。",易,Master Yi,"-If you are in a pawn line fighting with remote players, upgrade meditation can allow you to stay online longer and upgrade faster than your opponents.  -In the early days, Promise Kendo was very strong when it gave the minions the last blow.  -Try to use an alpha raid in front of an enemy hero to attack the minions, so that when the skill ends, you will be at a safe distance. ","-Meditation can effectively heal continuous damage, but Master Yi easily allows Master Yi to be ganked in the early game.  -If Master Yi tries to replenish his army with Promise Swordsman, he will attack him several times in a row, causing him to consume mana and use meditation to restore his health.  -Although Master Yi cannot be slowed while using the plateau blood, other restricted skills can also stop him. "
牛头酋长 阿利斯塔,https://lol.qq.com/data/info-defail.shtml?id=12,"
- 使用大地粉碎可以让你在更好的位置施放野蛮冲撞。
- 移动速度对于Alistar非常重要，因此买鞋时要Shen重考虑。
- 使用闪现可以让你抓住毫无防备的目标，继而用大地粉碎与野蛮冲撞将他们撞回你的友军中。","
- Alistar具有很强的破坏力也很结实，尝试着攻击更脆弱的输出型英雄才是更好的选择。
- 在敌方防御塔附近时要小心大地粉碎和野蛮冲撞的连击。
- 当Alistar使用终极技能时，你可以后退并等到效果消逝后，再对其进行攻击。",阿利斯塔,Alistar,"-Using the ground smash allows you to cast a savage collision in a better position.  -Movement speed is very important to Alistar, so Shen should reconsider when buying shoes.  -Using flash allows you to catch unsuspecting targets, and then smash them back into your allies with ground smash and brutal collision. ","-Alistar has a strong destructive power and is very strong. It is a better choice to try to attack more vulnerable output heroes.  -Be careful of ground smashing and brutal collision combos when near enemy defense towers.  -When Alistar uses the ultimate skill, you can back up and wait until the effect is gone before attacking it. "
符文法师 瑞兹,https://lol.qq.com/data/info-defail.shtml?id=13,"
- 使用【Q超负荷】的被动来最大化伤害或移动速度。
【E法术涌动】的冷却时间很短，可以利用这点来将【涌动】效果散播到多个敌人身上。
在【R曲境折跃】的充能期间，Ryze可以移动并施放其它技能，并且这么做不会导致传送门被取消。","
- 对那些身上带有【涌动】效果的人来说，Ryze尤为危险。
- 要利用【曲境折跃】的施放时间来想好如何处理即将从传送门中出现的敌人。
- 在Ryze施放【曲境折跃】期间，如果能用控制技能使他无法施法或无法移动，那么这个技能就会被取消。",瑞兹,Ryze,"-Use [Q Overload] passive to maximize damage or movement speed.  [E Spell Surge] has a short cooling time, which can be used to spread the effect of [Surge] to multiple enemies.  During the charging period of [R Twisted Realm], Ryze can move and cast other skills, and doing so will not cause the portal to be cancelled. ","-Ryze is especially dangerous for those with [Surge] effect.  -Use the casting time of [Mixed Realm] to figure out how to deal with the enemies that will appear from the portal.  -During Ryze's [Mental Jump], if you can use the control skill to make him unable to cast spells or move, then this skill will be cancelled. "
亡灵战神 赛恩,https://lol.qq.com/data/info-defail.shtml?id=14,"
- 在【R蛮横冲撞】进行时，你只有非常微弱的转向能力，所以请先规划好冲撞的直线。
-【E杀手怒吼】是一个强大的起手技能，可以为一记强劲的【Q残虐猛击】争取足够久的时间。
-【W灵魂熔炉】的增益状态会显示护盾的剩余生命值，利用这个信息来完美选择它的爆炸时机。","
- 即使会被Sion的【Q残虐猛击】给命中，也要让Sion提前放出这个技能，从而减少这个技能的影响力。
- 利用Sion死后的时间来重新站位，并准备好迎接他的回光返照。",赛恩,Sion,"-During the [R Brutal Crash], you only have a very weak steering ability, so please plan the straight line of the collision first.  -[E Killer Roar] is a powerful starting skill that can buy enough time for a powerful [Q Cruel Slam].  -[W Soul Furnace]'s gain status will display the remaining health value of the shield. Use this information to perfectly choose the timing of its explosion. ","-Even if you get hit by Sion’s [Q Cruel Slam], let Sion release this skill in advance to reduce its influence.  -Use the time after Sion's death to re-position and get ready for his return. "
战争女神 希维尔,https://lol.qq.com/data/info-defail.shtml?id=15,"
- Sivir的回旋之刃在到达最远射程后会飞回她手中，因此在扔出后你可以调整位置使它更容Master Yi命中敌人。
- 弹射会立刻重置Sivir的普通攻击，所以在进行一次普攻之后立刻激活它，就能最大化伤害输出。
- 尽量留着法术护盾，来帮你抵挡那些可以限制你的技能，例如：晕眩和束缚。","
- 回旋之刃会消耗大量法力值，躲避该技能会让Sivir受挫。如果她在扔出去时击中了你，在其返回时你要避免再次被击中。
- Sivir是一个强大的推线英雄，所以如果任由她独自推线的话，你将发现己方的防御塔很快就被摧毁了。
- 当你使用一个法师与Sivir对线时，你可以假装压上施法再退回，来诱骗她用掉法术护盾。",希维尔,Sivir,"-Sivir's Whirling Blade will fly back to her hand after reaching the farthest range, so you can adjust its position after throwing it out to make it easier for Master Yi to hit the enemy.  -Catapult will immediately reset Sivir's normal attack, so activate it immediately after performing a basic attack to maximize damage output.  -Try to keep spell shields as much as possible to help you withstand the skills that can restrict you, such as dizziness and restraint. ","-Spinning Blade consumes a lot of mana, evading this skill will make Sivir frustrated. If she hits you while throwing it out, you should avoid being hit again when she returns.  -Sivir is a powerful line pushing hero, so if you let her push the line alone, you will find that your defense tower is quickly destroyed.  -When you use a mage to line up with Sivir, you can pretend to press the spell and then return to trick her into using the spell shield. "
众星之子 索拉卡,https://lol.qq.com/data/info-defail.shtml?id=16,"
- Soraka是个很强大的盟友，用她的治疗技能让己方团队不停前进。
- 你可以在地图的任意位置用【R祈愿】拯救原本要丧命的队友。
- 【E星体结界】在限制敌方走位时非常强大。","
- 在团战中，如果Soraka冲到前线治疗她的队友，那么就集中火力攻击Soraka。
- 如果Soraka将【E星体结界】用来压制，那么可以利用这个技能冷却时间长的特点来赚取优势。
- 集火Soraka要比集火她正在治疗的友军更轻松。",索拉卡,Soraka,"-Soraka is a very powerful ally, using her healing skills to keep her team moving forward.  -You can use [R Pray] anywhere on the map to save teammates who were going to die.  -[E Astral Enchantment] is very powerful when restricting the enemy's position. ","-In a team fight, if Soraka rushes to the front line to treat her teammates, then focus on attacking Soraka.  -If Soraka uses [E Astral Enchantment] to suppress, then you can use the long cooldown of this skill to gain an advantage.  -Focusing on Soraka is easier than focusing on the allies she is healing. "
迅捷斥候 提莫,https://lol.qq.com/data/info-defail.shtml?id=17,"
- Teemo的蘑菇用来打钱是很有效的。
- 将你的蘑菇放在地图上的关键位置，比如靠近龙或纳什男爵的地方，以便在敌人试图杀死他们的时候能侦查到。","
- Teemo的毒性射击技能对被击中再退后的玩家同样有效，在你准备好反击之前要和Teemo保持距离。
- 你可以用神谕透镜来安全地摧毁关键地区的蘑菇。",提莫,Teemo,"-Teemo's mushrooms are very effective for making money.  -Place your mushrooms in key locations on the map, such as near the dragon or Baron Nash, so that you can detect them when the enemy tries to kill them. ",-Teemo's poison shooting skills are also effective for players who are hit and then back. Keep a distance from Teemo before you are ready to fight back.  -You can use the oracle lens to safely destroy mushrooms in key areas. 
麦林炮手 崔丝塔娜,https://lol.qq.com/data/info-defail.shtml?id=18,"
- Tristana的巨枪可以让它远距离攻击目标。利用这个可以防止你的敌人靠近你。
- 在你对一个敌人叠满【爆炸火花】的层数后，再用【火箭跳跃】跳到这个敌人身上，就能对这个敌人造成爆发性的伤害。
- 你可以用【急速射击】来帮你尽快在敌方英雄身上叠满【爆炸火花】。","
- 如果你看见Tristana在交战中激活急速射击，那么晕眩她，并且后退，直到该技能消散。
- 对线时远离你的小兵，减少爆炸射击所带来的附带伤害。",崔丝塔娜,Tristana,"-Tristana's huge gun allows it to attack targets from a long distance. Use this to prevent your enemies from approaching you.  -After you stack up the layers of [Explosive Sparks] on an enemy, use [Rocket Jump] to jump to the enemy to cause explosive damage to the enemy.  -You can use [Rapid Shot] to help you stack [Explosion Spark] on the enemy hero as quickly as possible. ","-If you see Tristana activating rapid shooting during a battle, stun her and step back until the skill dissipates.  -Stay away from your minions when laning to reduce the collateral damage caused by explosive shooting. "
祖安怒兽 沃里克,https://lol.qq.com/data/info-defail.shtml?id=19,"
- 跟随你的【W鲜血追猎】的血迹就能找到那些生命值较低的敌方英雄。
- Warwick的终极技能的施放距离可以从任何移动速度加成中获益，包括友方的增益效果和召唤师技能。
- 【Q野兽之口】会跟随敌人。在你按住这个技能键时，即使敌人用了奔跑、突进或传送技能，Warwick也会跟随他们出现在相应位置。","
- Warwick普攻会在他生命值较低时治疗他。把你的控制技能留到他残血时用，不要给他反击的机会。
- Warwick在对抗生命值较低的敌人时会获得强化。维持好你的生命值，别让他有可乘之机。
- Warwick终极技能的施放距离可从他的移动速度加成中获益。",沃里克,Warwick,"-Follow the bloodstains of your [W Blood Hunt] to find enemy heroes with lower health.  -Warwick’s ultimate ability’s cast distance can benefit from any movement speed bonus, including friendly buffs and summoner skills.  -[Q Mouth of the Beast] will follow the enemy. When you hold down this skill key, even if the enemy uses running, rushing or teleporting skills, Warwick will follow them and appear in the corresponding position. ","-Warwick basic attack will heal him when his health is low. Save your control skills for his residual blood, don't give him a chance to fight back.  -Warwick will be strengthened when fighting against enemies with low health. Maintain your health and don't let him take advantage of it.  -Warwick's ultimate ability's cast range can benefit from his movement speed bonus. "
雪原双子 努努和威朗普,https://lol.qq.com/data/info-defail.shtml?id=20,"
- 吞噬可以让Nunu & Willump呆在线上对抗敌方远程英雄。
- 如果有对手即将跑出射程，你可以选择早点打断绝对零度造成部分伤害。
- 延迟施放绝对零度直到对手使用完首轮限制，通常是有益的。尽量在冲入团战之前再等待一下。","
- 打断绝对零度技能的引导会减低你队伍所受到的伤害。
- 使用召唤师技能闪现，将确保你逃离绝对零度技能。
- 【史上最大雪球！】移动得非常快但无法快速转向，因此尽量不要沿直线逃跑，而是要进行突然、大角度的转向。",努努和威朗普,,"-Devour allows Nunu & Willump to stay online against enemy ranged heroes.  -If an opponent is about to run out of range, you can choose to interrupt Absolute Zero earlier to cause some damage.  -It is usually beneficial to delay the casting of Absolute Zero until the opponent has used the first-round limit. Try to wait a little longer before rushing into the teamfight. ","-Interrupting the guidance of Absolute Zero skills will reduce the damage your team receives.  -Use the summoner skill to flash, will ensure you escape from the absolute zero skill.  -[The biggest snowball in history! 】Moving very fast but unable to turn quickly, so try not to run in a straight line, but to make a sudden, large-angle turn. "
赏金猎人 厄运小姐,https://lol.qq.com/data/info-defail.shtml?id=21,"
- Miss Fortune如果近期没有受到伤害，就会提高速度。避免受到攻击可以让她移动非常迅速。
- 如果敌方英雄躲在小兵背后，则对最远处的敌方小兵使用一箭双雕；它会弹射到敌方英雄身上造成大量伤害。
- 在【大步流星】尚未冷却时，要尽量利用【厄运的眷顾】来最大化攻击速度加成的持续时间。","
- Miss Fortune的加速会被我方的伤害移除。
- 如果你能追上Miss Fortune，她很容Master Yi被击杀。在团队作战中先锁定她为目标。",厄运小姐,Miss Fortune,"-Miss Fortune will increase her speed if she has not been hurt recently. Avoiding attacks can make her move very quickly.  -If the enemy hero is hiding behind the minion, use one arrow with two birds on the farthest enemy minion; it will bounce to the enemy hero and cause a lot of damage.  -When the [Stride Meteor] is not yet cooling down, try to use [Doom’s Favor] to maximize the duration of the attack speed bonus. ","-Miss Fortune's acceleration will be removed by our damage.  -If you can catch up with Miss Fortune, she is very tolerant of Master Yi being killed. Target her first in team combat. "
寒冰射手 艾希,https://lol.qq.com/data/info-defail.shtml?id=22,"
- 尽量预判敌人行进的方向发射魔法水晶箭 ，这样可以加大射击命中率。
- 万箭齐发的箭矢会被命中的第一个敌人所阻挡，因此请注意拉开距离，以防所有箭矢都被敌方的前排英雄所吸收。
- 鹰击长空能侦查野区中的目标，这让你在野区中作战很有优势。","
- Ashe几乎没有防御技能，因此是优先的gank目标。
- 如果Ashe有段时间没有施放她的【魔法水晶箭】，那么你在地图上移动时就要特别小心。",艾希,Ashe,"-Try to predict the direction of the enemy to launch magic crystal arrows, so as to increase the shooting hit rate.  -Arrows fired by all arrows will be blocked by the first enemy hit, so please pay attention to the distance to prevent all arrows from being absorbed by the enemy's front row hero.  -Eagle strikes the sky to detect targets in the wild area, which gives you a great advantage in combat in the wild area. ","-Ashe has almost no defensive skills, so it is a priority gank target.  -If Ashe hasn't cast her [Magic Crystal Arrow] for a period of time, you must be especially careful when moving on the map. "
蛮族之王 泰达米尔,https://lol.qq.com/data/info-defail.shtml?id=23,"
- 推迟激活无尽怒火是促使敌方英雄过度激进地想来杀死你的有效方式。
- 嗜血杀戮是治疗Tryndamere的有效方式，试着在增益消失之前激活它。
- 如果敌人叠加护甲，可购买最后的轻语或者幽梦之灵。","
- 尽早的骚扰Tryndamere，使其无法击杀小兵、无法通过嗜血杀戮技能回复生命值。
- 切记：只有在背对Tryndamere的前提下，他才能够减缓你的速度。
- Tryndamere造成的大多是物理伤害。如果他变得过于强大，可以考虑购买荆棘之甲。",泰达米尔,Tryndamere,"-Delaying the activation of Endless Fury is an effective way to encourage the enemy heroes to want to kill you too aggressively.  -Bloodthirsty killing is an effective way to treat Tryndamere, try to activate it before the buff disappears.  -If the enemy stacks armor, you can buy the last whisper or ghost of dreams. ","-Harass Tryndamere as early as possible, so that it cannot kill minions and restore health through bloodthirsty killing skills.  -Remember: Tryndamere can only slow you down if his back is facing away.  -Tryndamere mostly caused physical damage. If he becomes too powerful, consider buying Armor of Thorns. "
武器大师 贾克斯,https://lol.qq.com/data/info-defail.shtml?id=24,"
- Jax的跳斩能对友军施放，包括侦查守卫，你可以利用这个逃离敌人的追杀。
- 诸如鬼索的狂暴之刃和海克斯科技枪刃等物法双加成的装备，都对Jax大有裨益。","
- 通过短时间爆发来伤害Jax，而不要跟他过于靠近。不让他连续攻击，就能极大降低他所造成的伤害。
- Jax可以在短时间内躲闪掉所有即将到来的普通攻击，并在结束后晕眩周围的敌军。请等到他的躲闪结束后再发起攻击。",贾克斯,Jax,"-Jax's jump cut can be cast on allied forces, including scout guards, you can use this to escape the enemy's pursuit.  -Equipment such as Guisuo's Rage Blade and Hextech Gun Blade and other material double bonus equipment are of great benefit to Jax. ","-Injure Jax through short bursts, don't get too close to him. By not allowing him to attack continuously, he can greatly reduce the damage he causes.  -Jax can dodge all upcoming normal attacks in a short time, and stun the surrounding enemies after the end. Please wait until his dodge is over before attacking. "
堕落天使 莫甘娜,https://lol.qq.com/data/info-defail.shtml?id=25,"
- 精明地使用黑暗之盾可以决定团战的结果。
- 增强生存力的道具可以使Morgana在联合使用黑暗之盾与灵魂镣铐时变得极难杀死。
- 如果兵线上只有你自己，那么痛苦腐蚀能有效地帮助你打钱。","
- 【W折磨之影】会对失去大量生命值的敌人造成成吨的伤害。在血量较低时，要留心Morgana把你诱骗到它范围内的企图。
- Morgana经常需要使用【Q暗之禁锢】来发起其他进攻，把小兵当护盾，从而躲避【Q暗之禁锢】。
【E黑暗之盾】让Morgana免疫限制效果，但这个护盾可以被魔法伤害给灌爆。",莫甘娜,Morgana,"-Using the dark shield wisely can determine the outcome of the team battle.  -Survivability-enhancing items can make Morgana extremely difficult to kill when using the Dark Shield and Soul Shackles in combination.  -If you are the only one in the army, pain and corrosion can effectively help you make money. ","-[Shadow of Torment] will cause tons of damage to enemies who have lost a lot of health. When your health is low, watch out for Morgana's attempts to lure you into its range.  -Morgana often needs to use [Q Dark Imprisonment] to initiate other attacks, using the minions as shields to avoid [Q Dark Imprisonment].  [E Dark Shield] makes Morgana immune to limiting effects, but this shield can be bombarded by magic damage. "
时光守护者 基兰,https://lol.qq.com/data/info-defail.shtml?id=26,"
- 你可以连续使用【Q定时炸弹】和【W穿梭未来】来快速地将两颗定时炸弹放到一个目标上。放置第二颗炸弹会引爆第一颗，并晕眩附近的敌人。
- 【E时光发条】能让友军追杀敌人，或者从败仗逃脱。
- 【R时光倒流】能有效保护本方的主力输出英雄，但过早使用该技能会导致敌方转移攻击目标，降低效果。","
- 如果你能跟上Zilean的速度，你可以等到他的终极技能效果消逝之后，再发出夺命一击。
- Zilean很容Master Yi死在集火之下，但是很难被单杀。想杀他时，请你的队伍集中火力。",基兰,Zilean,"-You can use [Q Time Bomb] and [W Shuttle Future] continuously to quickly drop two time bombs on one target. Placing the second bomb will detonate the first one and stun nearby enemies.  -[E-Time Clockwork] allows friendly forces to chase down the enemy or escape from defeat.  -[R Back in Time] can effectively protect the main output hero of the team, but using this skill too early will cause the enemy to shift the attack target and reduce the effect. ","-If you can keep up with Zilean's speed, you can wait until the effect of his ultimate ability is gone, and then make a fatal blow.  -Zilean is very easy for Master Yi to die under the fire, but it is difficult to be single killed. When you want to kill him, ask your team to focus their firepower. "
炼金术士 辛吉德,https://lol.qq.com/data/info-defail.shtml?id=27,"
- 剧毒踪迹在打钱与骚扰方面是很有效的，可以让Singed主宰他所在那条线的形势。
- 用疯狂药剂诱使敌人在剧毒踪迹上追捕你。
- 将敌人扔进你的塔内可以对他们造成巨大伤害。","
- 保持一定距离，避免被过肩摔投掷到敌人堆里去。
- Singed要接近你的队伍，才能施展技能，充分利用这一点，在攻击他的友军时，使用控制技能限制他的移动。
- 追击Singed的时候要小心，他很难被打倒，且在你追赶过程中，他能用剧毒踪迹对你造成伤害。",辛吉德,Singed,"-Toxic trails are very effective in fighting money and harassment, allowing Singed to dominate the situation on his line.  -Use crazy potions to lure the enemy into hunting you on the poisonous trail.  -Throwing enemies into your tower can cause huge damage to them. ","-Keep a certain distance to avoid being thrown into the enemy by being thrown over your shoulders.  -Singed must be close to your team to use his skills. Take advantage of this and use control skills to restrict his movement when attacking his allies.  -Be careful when chasing Singed, he is hard to be defeated, and while you chase, he can use poisonous trails to cause damage to you. "
痛苦之拥 伊芙琳,https://lol.qq.com/data/info-defail.shtml?id=28,"
- 【引诱】的准备时间也许看上去有点久，但它所具备的魅惑和魔抗击碎效果会为Evelynn带来极大优势，所以等待是值得的。
- 在潜行时，要注意你是否被敌方英雄所侦测到。你可以通过敌方英雄头上逐渐变黄和变红的眼睛来识别。
- 在生命值较低时，Evelynn可利用【恶魔魅影】的治疗效果和【伪装】重返战场，打敌人一个措手不及。","
- 购买控制守卫可以帮助你侦测Evelynn的位置，从而对她的伏击做好准备。
- Evelynn的很大一部分威胁都在她的魅惑效果“引诱”上。保护那些带有“引诱”标记的友军，或者，如果你被标记了，确保你的友军隔在你和Evelynn可能发起攻击的位置之间。
- 如果你猜测Evelynn已经离开了你的战线，可以通过打字以及在小地图上进行标记来让友军知道。",伊芙琳,Evelynn,"-The preparation time for [Induction] may seem a bit long, but its charm and magic resistance to crushing effects will bring Evelynn a great advantage, so the wait is worth it.  -When sneaking, pay attention to whether you are detected by the enemy hero. You can recognize it by the gradually turning yellow and red eyes on the head of the enemy hero.  -When the HP is low, Evelynn can use the healing effect of [Demon Phantom] and [Disguise] to return to the battlefield and hit the enemy by surprise. ","-Purchasing a control guard can help you detect Evelynn's location and prepare for her ambush.  -A large part of Evelynn's threat lies in her charm effect ""seduce"". Protect those allies with the ""bait"" mark, or, if you are marked, make sure your allies are between you and Evelynn where they might attack.  -If you guess that Evelynn has left your battle line, you can let allies know by typing and marking on the minimap. "
