index,play_strats,counter_strats
https://lol.qq.com/data/info-defail.shtml?id=17,"
- 提莫的蘑菇用来打钱是很有效的。
- 将你的蘑菇放在地图上的关键位置，比如靠近龙或纳什男爵的地方，以便在敌人试图杀死他们的时候能侦查到。","
- 提莫的毒性射击技能对被击中再退后的玩家同样有效，在你准备好反击之前要和提莫保持距离。
- 你可以用神谕透镜来安全地摧毁关键地区的蘑菇。"
https://lol.qq.com/data/info-defail.shtml?id=18,"
- 崔丝塔娜的巨枪可以让它远距离攻击目标。利用这个可以防止你的敌人靠近你。
- 在你对一个敌人叠满【爆炸火花】的层数后，再用【火箭跳跃】跳到这个敌人身上，就能对这个敌人造成爆发性的伤害。
- 你可以用【急速射击】来帮你尽快在敌方英雄身上叠满【爆炸火花】。","
- 如果你看见崔丝塔娜在交战中激活急速射击，那么晕眩她，并且后退，直到该技能消散。
- 对线时远离你的小兵，减少爆炸射击所带来的附带伤害。"
https://lol.qq.com/data/info-defail.shtml?id=19,"
- 跟随你的【W鲜血追猎】的血迹就能找到那些生命值较低的敌方英雄。
- 沃里克的终极技能的施放距离可以从任何移动速度加成中获益，包括友方的增益效果和召唤师技能。
- 【Q野兽之口】会跟随敌人。在你按住这个技能键时，即使敌人用了奔跑、突进或传送技能，沃里克也会跟随他们出现在相应位置。","
- 沃里克普攻会在他生命值较低时治疗他。把你的控制技能留到他残血时用，不要给他反击的机会。
- 沃里克在对抗生命值较低的敌人时会获得强化。维持好你的生命值，别让他有可乘之机。
- 沃里克终极技能的施放距离可从他的移动速度加成中获益。"
https://lol.qq.com/data/info-defail.shtml?id=20,"
- 吞噬可以让努努呆在线上对抗敌方远程英雄。
- 如果有对手即将跑出射程，你可以选择早点打断绝对零度造成部分伤害。
- 延迟施放绝对零度直到对手使用完首轮限制，通常是有益的。尽量在冲入团战之前再等待一下。","
- 打断绝对零度技能的引导会减低你队伍所受到的伤害。
- 使用召唤师技能闪现，将确保你逃离绝对零度技能。
- 【史上最大雪球！】移动得非常快但无法快速转向，因此尽量不要沿直线逃跑，而是要进行突然、大角度的转向。"
https://lol.qq.com/data/info-defail.shtml?id=21,"
- 厄运小姐如果近期没有受到伤害，就会提高速度。避免受到攻击可以让她移动非常迅速。
- 如果敌方英雄躲在小兵背后，则对最远处的敌方小兵使用一箭双雕；它会弹射到敌方英雄身上造成大量伤害。
- 在【大步流星】尚未冷却时，要尽量利用【厄运的眷顾】来最大化攻击速度加成的持续时间。","
- 厄运小姐的加速会被我方的伤害移除。
- 如果你能追上厄运小姐，她很容易被击杀。在团队作战中先锁定她为目标。"
https://lol.qq.com/data/info-defail.shtml?id=22,"
- 尽量预判敌人行进的方向发射魔法水晶箭 ，这样可以加大射击命中率。
- 万箭齐发的箭矢会被命中的第一个敌人所阻挡，因此请注意拉开距离，以防所有箭矢都被敌方的前排英雄所吸收。
- 鹰击长空能侦查野区中的目标，这让你在野区中作战很有优势。","
- 艾希几乎没有防御技能，因此是优先的gank目标。
- 如果艾希有段时间没有施放她的【魔法水晶箭】，那么你在地图上移动时就要特别小心。"
https://lol.qq.com/data/info-defail.shtml?id=23,"
- 推迟激活无尽怒火是促使敌方英雄过度激进地想来杀死你的有效方式。
- 嗜血杀戮是治疗泰达米尔的有效方式，试着在增益消失之前激活它。
- 如果敌人叠加护甲，可购买最后的轻语或者幽梦之灵。","
- 尽早的骚扰泰达米尔，使其无法击杀小兵、无法通过嗜血杀戮技能回复生命值。
- 切记：只有在背对泰达米尔的前提下，他才能够减缓你的速度。
- 泰达米尔造成的大多是物理伤害。如果他变得过于强大，可以考虑购买荆棘之甲。"
https://lol.qq.com/data/info-defail.shtml?id=24,"
- 贾克斯的跳斩能对友军施放，包括侦查守卫，你可以利用这个逃离敌人的追杀。
- 诸如鬼索的狂暴之刃和海克斯科技枪刃等物法双加成的装备，都对贾克斯大有裨益。","
- 通过短时间爆发来伤害贾克斯，而不要跟他过于靠近。不让他连续攻击，就能极大降低他所造成的伤害。
- 贾克斯可以在短时间内躲闪掉所有即将到来的普通攻击，并在结束后晕眩周围的敌军。请等到他的躲闪结束后再发起攻击。"
https://lol.qq.com/data/info-defail.shtml?id=25,"
- 精明地使用黑暗之盾可以决定团战的结果。
- 增强生存力的道具可以使莫甘娜在联合使用黑暗之盾与灵魂镣铐时变得极难杀死。
- 如果兵线上只有你自己，那么痛苦腐蚀能有效地帮助你打钱。","
- 【W折磨之影】会对失去大量生命值的敌人造成成吨的伤害。在血量较低时，要留心莫甘娜把你诱骗到它范围内的企图。
- 莫甘娜经常需要使用【Q暗之禁锢】来发起其他进攻，把小兵当护盾，从而躲避【Q暗之禁锢】。
【E黑暗之盾】让莫甘娜免疫限制效果，但这个护盾可以被魔法伤害给灌爆。"
https://lol.qq.com/data/info-defail.shtml?id=26,"
- 你可以连续使用【Q定时炸弹】和【W穿梭未来】来快速地将两颗定时炸弹放到一个目标上。放置第二颗炸弹会引爆第一颗，并晕眩附近的敌人。
- 【E时光发条】能让友军追杀敌人，或者从败仗逃脱。
- 【R时光倒流】能有效保护本方的主力输出英雄，但过早使用该技能会导致敌方转移攻击目标，降低效果。","
- 如果你能跟上基兰的速度，你可以等到他的终极技能效果消逝之后，再发出夺命一击。
- 基兰很容易死在集火之下，但是很难被单杀。想杀他时，请你的队伍集中火力。"
https://lol.qq.com/data/info-defail.shtml?id=27,"
- 剧毒踪迹在打钱与骚扰方面是很有效的，可以让辛吉德主宰他所在那条线的形势。
- 用疯狂药剂诱使敌人在剧毒踪迹上追捕你。
- 将敌人扔进你的塔内可以对他们造成巨大伤害。","
- 保持一定距离，避免被过肩摔投掷到敌人堆里去。
- 辛吉德要接近你的队伍，才能施展技能，充分利用这一点，在攻击他的友军时，使用控制技能限制他的移动。
- 追击辛吉德的时候要小心，他很难被打倒，且在你追赶过程中，他能用剧毒踪迹对你造成伤害。"
https://lol.qq.com/data/info-defail.shtml?id=28,"
- 【引诱】的准备时间也许看上去有点久，但它所具备的魅惑和魔抗击碎效果会为伊芙琳带来极大优势，所以等待是值得的。
- 在潜行时，要注意你是否被敌方英雄所侦测到。你可以通过敌方英雄头上逐渐变黄和变红的眼睛来识别。
- 在生命值较低时，伊芙琳可利用【恶魔魅影】的治疗效果和【伪装】重返战场，打敌人一个措手不及。","
- 购买控制守卫可以帮助你侦测伊芙琳的位置，从而对她的伏击做好准备。
- 伊芙琳的很大一部分威胁都在她的魅惑效果“引诱”上。保护那些带有“引诱”标记的友军，或者，如果你被标记了，确保你的友军隔在你和伊芙琳可能发起攻击的位置之间。
- 如果你猜测伊芙琳已经离开了你的战线，可以通过打字以及在小地图上进行标记来让友军知道。"
https://lol.qq.com/data/info-defail.shtml?id=29,"
- 图奇是游戏中最高攻击速度的英雄之一，尽量购买像黑色切割者、或智慧末刃等带有攻击附带效果的道具。
- 【E毒性爆发】范围很大，在使用之前尽量给对手多叠几层【死亡毒液】。
- 你可以用【W剧毒之桶】来追上那些超出射程的敌人。","
- 图奇很脆弱。你可以趁他伪装状态之外时抓住他倾泻火力。
- 法术护盾不能阻挡死亡毒液的伤害，但是它们能够阻挡图奇施放毒性爆发的效果。
- 如果你猜测图奇已经离开了兵线，请尽快告知你的队友。"
https://lol.qq.com/data/info-defail.shtml?id=30,"
- 让友军帮忙，告诉你何时使用安魂曲，从而击杀在不同线的对手。
- 用荒芜来打钱及骚扰敌方英雄是非常有效的。","
- 卡尔萨斯死后能够施放短暂的技能。远离他的尸体以保安全。
- 确保你有足够的生命值从安魂曲中存活，虽然这意味着你得经常回到基地去回复生命值。"
https://lol.qq.com/data/info-defail.shtml?id=31,"
- 尽量调整普攻的角度，好让虚空尖刺能够同时击杀敌方小兵并伤害敌方英雄。
- 如果你难以吃掉英雄的话，那就多吃小兵让自己变大。
- 将破裂与肉食者联合使用可以很好地增加生命和法力。","
- 购买一些增加生命值的物品能够降低被科加斯快速杀死的机率。
- 集中精力阻止科加斯达到其最大体积。
- 破裂技能释放前，附近地面会有烟云预兆。你要对此多加注意，阻止科加斯的连击。"
https://lol.qq.com/data/info-defail.shtml?id=32,"
- 阿木木极度依赖队友，尽量与友军同线来取得最大的效果。
- 冷却时间减少的阿木木很强，但他很难通过装备来获取冷却缩减。击杀苍蓝雕纹魔像获得增益来减少冷却时间，而不需要牺牲装备数值。
- 绝望光环在对付其他坦克时很有效，确保你的绝望光环能攻击到对方最高生命值的英雄。","
- 当阿木木施放终极必杀技时，避免和友军聚成一团。
- 频繁的移动或躲在小兵后面都能让阿木木绷带牵引技能无法击中你。
- 阿木木的绝望光环按生命比例伤害，所以购买增加生命值的物品效果并不一定理想。"
https://lol.qq.com/data/info-defail.shtml?id=33,"
- 动力冲刺可以作为一种有效的逃跑方法。
- 在你的防御塔附近嘲讽敌人可以让防御塔攻击敌人。
- 地动山摇与尖刺防御可以在游戏后期用来摧毁防御塔（地动山摇对建筑物有效）。如果你在团队作战中陷入困境，可以转而攻击建筑物。","
- 在拉莫斯不使用尖刺防御时攻击他，因为拉莫斯不用此技能时，他的属性要远低于一般的坦克英雄。
- 拉莫斯通常会堆高护甲，在他没有用尖刺防御时，把他留给法师来解决吧。"
https://lol.qq.com/data/info-defail.shtml?id=34,"
- 在恰当的时机使用寒冰闪耀+霜寒刺骨的连招将对敌人造成毁灭性的伤害。
- 艾尼维亚在释放冰川风暴时极度依赖法力。试着出一些法力道具或击杀苍蓝雕纹魔像获得它的增益效果。
- 她的凤凰蛋在前期是很难被敌方英雄所杀的，你可以狠狠地进攻来占据优势。","
- 当艾尼维亚在兵线上时试着gank他。人越多，越容易杀死她的凤凰蛋。
- 如果你是远程英雄，则尽可能远离艾尼维亚，躲避寒冰闪耀技能。
- 在兵线上攻击艾尼维亚，因为在丛林中她能用低等级的寒冰屏障封锁路径。"
https://lol.qq.com/data/info-defail.shtml?id=35,"
- 使用【Q欺诈魔术】穿越地形可以帮助你干净利落地逃脱。
- 尽量购买带有攻击附加效果的道具，这些也会有助于你的幻象。
- 诸如无尽之刃等提高暴击伤害的效果可以加强背刺的伤害。","
- 如果萨科前期表现不错，把侦查守卫布置到他的野怪营地附近来对抗他是值得的。
- 如果萨科使用【欺诈魔术】进入战场，他短时间内将无法重新使用该技能，利用这个机会和你的队伍一起快速将他打倒。"
https://lol.qq.com/data/info-defail.shtml?id=36,"
- 时机正好的背水一战可以引诱敌方英雄来攻击你，即使他们没有足够的攻击输出消灭你。
- 振奋盔甲能够增加使用终极必杀技所回复的生命值，缩短所有技能的冷却时间。
- 屠刀对中立怪物的杀伤力很强。可以通过中立怪物打钱，直到终极必杀技能够治疗你，而不用回到基地。","
- 在蒙多医生使用终极必杀技后马上和队友使用强大的攻击技能。如果不能够立刻杀死他，他会迅速回复生命值。
- 当蒙多医生使用背水一战消耗部分生命值，从而短暂提升移动速度并巨幅提升生命回复速度时，可尝试使用引燃。"
https://lol.qq.com/data/info-defail.shtml?id=37,"
- 在娑娜的光环激活时，要确保紧靠队友来提供效果，同时也要避免被敌人攻击到。
- 将【R狂舞终乐章】留到改变局势的那一刻。
- 在合适的时机使用【W坚毅咏叹调】，将最大化你的生存能力。","
- 看到娑娜时要散开，避免她施法让你和友军跳舞。
- 先杀死娑娜，因为如果她一个人长时间停留会达到治疗友军的效果。"
https://lol.qq.com/data/info-defail.shtml?id=38,"
- 卡萨丁有多条装备路线，他可以通过法力和法术强度装备来做一个法师，或者出冷却缩减和魔法抗性的装备来对抗对方的法师。
- 卡萨丁的终极技能有很多用途，并且比多数终极技能的冷却时间短，你可以把它作为常规技能来用。
- 尽量获得苍蓝雕纹魔像增益来缓冲【R虚空行走】不断提升的法力消耗。","
- 卡萨丁对目标主要造成魔法伤害。如果发展顺利，可考虑购买诸如水银之靴和女妖面纱这样的魔抗装来抵挡他。
- 卡萨丁每连续使用一次【R虚空行走】，都会消耗更多的法力。你在追击他时要牢记这点。
- 卡萨丁需要6次充能（周围有英雄施放技能）才能施放减【E能量脉冲】，使目标减速。如果他升级了该技能，你最好明智地使用你的技能，因为你在施放技能的同时会为卡萨丁充能。"
https://lol.qq.com/data/info-defail.shtml?id=39,"
- 在你前往目标英雄的途中，先用【利刃冲击】攻击低生命的小兵，再用【利刃冲击】攻击目标英雄，便可瞬间移动很远的距离。
- 【距破之舞】不可被控制效果打断，可尝试用它来免除即将到来的控制效果。
- 【比翼双刃】没有最大飞行距离，可尝试以创造性的方式来使用它。","
- 多关注【艾欧尼亚狂热】的层数，并且试图在它刚消失时与艾瑞莉娅开战。
- 兵线可极大地增强艾瑞莉娅的机动能力，不要在她处在一大波小兵之中时与她作战。
- 不要把你的重要技能倾泻在【距破之刃】上。"
https://lol.qq.com/data/info-defail.shtml?id=40,"
- 风暴之眼可以用于友方的防御塔。
- 快速发出飓风呼啸（不要蓄力）可以很好的控制对方队伍。
- 迦娜的终极技能可以将敌人从受伤友军身边推开或者甚至打散敌人。","
- 保留一个打断技能给迦娜的终极技能。
- 留心听飓风呼啸蓄力的声音，以防迦娜在屏幕后或树林的突袭。
- 迦娜辅助友军处于最强劲状态。骚扰她的友军能够削弱迦娜对你的威胁。"
https://lol.qq.com/data/info-defail.shtml?id=41,"
- 枪火谈判可以附带像冰霜之锤或黑色切割者的攻击附带效果。
- 留意地图上低生命值的敌人，你可以突然使用加农炮幕击杀他。
- 尽量将加农炮幕放在逃跑道路上来截断逃兵。","
- 枪火谈判可以造成高额的物理伤害。如果敌人的普朗克表现不错，那么提供护甲的物品将对你大有裨益。
- 一旦普朗克到达6级，就要留意他的全地图终极技能，加农炮幕！"
https://lol.qq.com/data/info-defail.shtml?id=42,"
- 磷光炸弹可以用来暴露躲在附近草丛里的敌人。
- 瓦尔基里俯冲也可用来防身，试着用它来快速逃脱。
- 库奇在使用格林机枪时也能进行普通攻击。将格林机枪的伤害最大化是掌握库奇的关键。","
- 小心库奇的磷光炸弹的溅射伤害，就算你躲在小兵后面也会受伤。
- 库奇使用【瓦尔基里俯冲】或【特别快递】后变得脆弱。若库奇用这些技能来切入战场，则可把注意力转移到他身上。"
https://lol.qq.com/data/info-defail.shtml?id=43,"
- 聚能之炎鼓励激进型的打法。找机会把技能和普攻扔到你的对手身上，来降低梵咒的冷却时间，并保持攻击的态势。
- 在使用坚定不移时，先用心灵烈焰来减速你的敌人，或者用鼓舞来加强自己的速度，就能帮你解决跟不上目标的烦恼。
- 在有梵咒时，不要过于保守。聚能之炎是最强大的团战技能，因此可以轻易地为梵咒进行多次充能。","
- 卡尔玛的被动技能，会在她用技能和普攻命中敌人时减少梵咒的冷却时间。不要给她白打你的机会。
- 卡尔玛的灵光闪耀会在落地区域喷发，造成额外伤害。反应快一点，走出那个圈就可以避免承受成吨的伤害。
- 坚定不移是一个强大的脱身手段。保持足够远的距离，来避免被束缚，并在之后寻求交战的时机。"
https://lol.qq.com/data/info-defail.shtml?id=44,"
- 【正气凌人】的冷却缩减部分，让诸如【冰霜之心】、【冰脉护手】和【振奋盔甲】等冷却缩减装在塔里克身上尤显强大。
- 使用低充能数的【Q星光之触】会导致同样法力带来的治疗效果变少，但可通过【正气凌人】来极大地提升塔里克的持续伤害。
- 与其把【R宇宙之辉】留到最后时刻并让所有人在延迟期间都有丧命的危险，不如在你预感到团战即将开始的时候尽快施放。","
- 塔里克的终极技能【R宇宙之辉】会在生效前有段很长的延迟时间。尽量快速做出判断，来看看是否能够脱离战斗或在这段延迟时间内击杀掉他的友军。
- 塔里克的被动技能【正气凌人】，可让他通过对敌人进行普攻来减少他的技能冷却时间。尽量在团战中放他风筝，并在新一波小兵还没到达时教训他。"
https://lol.qq.com/data/info-defail.shtml?id=45,"
- 使用扭曲空间来确保暗黑物质成功击中。
- 维迦极度依赖和冷却缩减。买一些增加以上属性的装备，会令你的被动技能更有效，并能让你可以施放更多的黑暗祭祀。
- 维迦是非常脆弱的，尽量保证你有至少一个召唤师技能用来防身。","
- 黑暗物质能造成巨大伤害，但可以避免。留意声音和视觉指示，了解技能施放的时间和地点。
- 扭曲空间技能只晕眩边缘上的单位。如果你在技能范围内而不穿过边缘，你仍能移动和攻击。
- 维迦的终极技能伤害会基于你的已损失生命值而提升。"
https://lol.qq.com/data/info-defail.shtml?id=48,"
- 特朗德尔擅长在冰封领域内战斗。试着把敌人引到此区域内。
- 用强权至上来削弱强大的敌方坦克或以此让你的队伍集中火力。
- 利齿撕咬能够很好地降低敌人的物理伤害，试着将此技能用于敌方的物理输出英雄。","
- 特朗德尔在特定地形下作战能力超强。试着让他离开冰封领域。
- 尽快逃离他的寒冰之柱，因为它会极大地减慢你的速度。"
https://lol.qq.com/data/info-defail.shtml?id=50,"
- 如果你很难用【永不复行】来束缚住敌人，可以试试趁着敌人靠近敌方小兵的时候释放该技能，来用爆炸带给TA惊喜。
- 在兵线上时，尽量试着从一个安全的距离上利用【解脱之手】的穿透伤害来消耗敌人。
【帝国视界】本身非常难以命中敌人，所以要时刻留意地图各处的遭遇战，来对那些被干扰了注意力或被控制的敌人使用，这样就能更易命中敌人。
- 【恶魔升华】也许会让斯维因非常难以被击杀，但敌人也可以非常容易地走出技能范围。如果敌人的机动性已经高到爆表，可以尝试购买一些减速装备，来将敌人留在技能范围内。","
- 如果你被定身，那么斯维因的被动就会非常强大。请打起十二分的精神来应对那些拥有定身技能的敌方英雄。
- 高机动性可以克制斯维因的所有基础技能：【解脱之手】是对越近的敌人造成越多伤害，【帝国视界】拥有一个非常久的延迟，而【永不复行】则必须是在返程途中才会特别危险。
购买任一带有【重伤】效果的装备，即在斯维因开启【恶魔升华】期间更易将他击杀。"
https://lol.qq.com/data/info-defail.shtml?id=51,"
- 充分利用约德尔诱捕器，先发制人，确保在战斗过程中随时可以放置新的诱捕器。
- 不要在团战中使用让子弹飞，因为很容易被其他目标误挡。
- 发射90口径绳网来远离敌人、拉近距离或穿墙。","
- 如果凯特琳用和平使者骚扰你，记得躲在自己的小兵后面（这样受到的伤害会更少）。
- 如果你站在让子弹飞的发射路径上，你可以帮助友军拦截子弹。"
https://lol.qq.com/data/info-defail.shtml?id=53,"
- 机械飞爪、能量铁拳和静电力场的1
-2
-3组合可以摧毁一名落单的对手。
- 使用布里茨的抓取将一名敌人拉入你们的防御塔射程内，继而一记能量铁拳可以让防御塔对他们进行多发射击。","
- 布里茨的被动技能【法力屏障】能够在他濒死时提供一个吸收伤害的护盾。
- 躲在小兵后面能够防止被布里茨抓。布里茨的机械飞爪只能够抓住第一个碰到的敌人。"
https://lol.qq.com/data/info-defail.shtml?id=54,"
- 护甲能降低花岗岩护盾在承受敌方攻击时的损耗速度，因此在敌人摧毁护盾前激活野蛮打击，可以加强护盾对物理伤害的承受能力。
- 虽然他的多数技能可通过护甲来提升伤害，但有些对局还是需要墨菲特拥有魔法抗性。当这种情况出现时，可以试试购买军团圣盾，水银之靴以及守护天使等物品。","
- 若你是物理伤害英雄，攻击墨菲特时站在友军后方。大地震颤会极大地减少你的伤害。
- 墨菲特是少数具备打野能力的坦克之一。如果看到墨菲特带了惩戒，就要当心了。"
https://lol.qq.com/data/info-defail.shtml?id=55,"
- 拾取匕首会显著降低【E瞬步】的冷却时间。
- 等到敌方正与我方缠斗之际，用【E瞬步】加入战局，并释放一朵毁灭性的【R死亡莲华】。
- 对友军英雄、匕首或小兵使用瞬步是个很好的逃跑手段。","
- 卡特琳娜的技能对目标造成魔法伤害，尽管她购买增加攻击的物品，你也可使用魔抗应对。
- 推荐为卡特琳娜的死亡莲华保留一个限制技能。"
https://lol.qq.com/data/info-defail.shtml?id=56,"
- 在千钧一发之际施放终极技能是非常划算的，即使你不能用它来突进。
- 梦魇之径不仅是攻击技能，还可以让你远离战斗或者从必死的境地之中逃脱。
- 在终极技能突进时使用黑暗庇护，也许会让恐慌的敌人在你的护盾上浪费一次限制技能。","
- 当魔腾施放终极技能时，和友军站近一点儿，这样才能一起以众敌寡！
- 魔腾的无言恐惧有范围限制，所以预留好你的移动技能，好在魔腾施放此技能时逃开。"
