champion_cn,champion,play_strats,counter_strats
易,Master Yi,"-If you are in a pawn line fighting with remote players, upgrade meditation can allow you to stay online longer and upgrade faster than your opponents.  -In the early days, Promise Kendo was very strong when it gave the minions the last blow.  -Try to use an alpha raid in front of an enemy hero to attack the minions, so that when the skill ends, you will be at a safe distance. ","-Meditation can effectively heal continuous damage, but Master Yi easily allows Master Yi to be ganked in the early game.  -If Master Yi tries to replenish his army with Promise Swordsman, he will attack him several times in a row, causing him to consume mana and use meditation to restore his health.  -Although Master Yi cannot be slowed while using the plateau blood, other restricted skills can also stop him. "
阿利斯塔,Alistar,"-Using the ground smash allows you to cast a savage collision in a better position.  -Movement speed is very important to Alistar, so Shen should reconsider when buying shoes.  -Using flash allows you to catch unsuspecting targets, and then smash them back into your allies with ground smash and brutal collision. ","-Alistar has a strong destructive power and is very strong. It is a better choice to try to attack more vulnerable output heroes.  -Be careful of ground smashing and brutal collision combos when near enemy defense towers.  -When Alistar uses the ultimate skill, you can back up and wait until the effect is gone before attacking it. "
瑞兹,Ryze,"-Use [Q Overload] passive to maximize damage or movement speed.  [E Spell Surge] has a short cooling time, which can be used to spread the effect of [Surge] to multiple enemies.  During the charging period of [R Twisted Realm], Ryze can move and cast other skills, and doing so will not cause the portal to be cancelled. ","-Ryze is especially dangerous for those with [Surge] effect.  -Use the casting time of [Mixed Realm] to figure out how to deal with the enemies that will appear from the portal.  -During Ryze's [Mental Jump], if you can use the control skill to make him unable to cast spells or move, then this skill will be cancelled. "
赛恩,Sion,"-During the [R Brutal Crash], you only have a very weak steering ability, so please plan the straight line of the collision first.  -[E Killer Roar] is a powerful starting skill that can buy enough time for a powerful [Q Cruel Slam].  -[W Soul Furnace]'s gain status will display the remaining health value of the shield. Use this information to perfectly choose the timing of its explosion. ","-Even if you get hit by Sion’s [Q Cruel Slam], let Sion release this skill in advance to reduce its influence.  -Use the time after Sion's death to re-position and get ready for his return. "
希维尔,Sivir,"-Sivir's Whirling Blade will fly back to her hand after reaching the farthest range, so you can adjust its position after throwing it out to make it easier for Master Yi to hit the enemy.  -Catapult will immediately reset Sivir's normal attack, so activate it immediately after performing a basic attack to maximize damage output.  -Try to keep spell shields as much as possible to help you withstand the skills that can restrict you, such as dizziness and restraint. ","-Spinning Blade consumes a lot of mana, evading this skill will make Sivir frustrated. If she hits you while throwing it out, you should avoid being hit again when she returns.  -Sivir is a powerful line pushing hero, so if you let her push the line alone, you will find that your defense tower is quickly destroyed.  -When you use a mage to line up with Sivir, you can pretend to press the spell and then return to trick her into using the spell shield. "
索拉卡,Soraka,"-Soraka is a very powerful ally, using her healing skills to keep her team moving forward.  -You can use [R Pray] anywhere on the map to save teammates who were going to die.  -[E Astral Enchantment] is very powerful when restricting the enemy's position. ","-In a team fight, if Soraka rushes to the front line to treat her teammates, then focus on attacking Soraka.  -If Soraka uses [E Astral Enchantment] to suppress, then you can use the long cooldown of this skill to gain an advantage.  -Focusing on Soraka is easier than focusing on the allies she is healing. "
提莫,Teemo,"-Teemo's mushrooms are very effective for making money.  -Place your mushrooms in key locations on the map, such as near the dragon or Baron Nash, so that you can detect them when the enemy tries to kill them. ",-Teemo's poison shooting skills are also effective for players who are hit and then back. Keep a distance from Teemo before you are ready to fight back.  -You can use the oracle lens to safely destroy mushrooms in key areas. 
崔丝塔娜,Tristana,"-Tristana's huge gun allows it to attack targets from a long distance. Use this to prevent your enemies from approaching you.  -After you stack up the layers of [Explosive Sparks] on an enemy, use [Rocket Jump] to jump to the enemy to cause explosive damage to the enemy.  -You can use [Rapid Shot] to help you stack [Explosion Spark] on the enemy hero as quickly as possible. ","-If you see Tristana activating rapid shooting during a battle, stun her and step back until the skill dissipates.  -Stay away from your minions when laning to reduce the collateral damage caused by explosive shooting. "
沃里克,Warwick,"-Follow the bloodstains of your [W Blood Hunt] to find enemy heroes with lower health.  -Warwick’s ultimate ability’s cast distance can benefit from any movement speed bonus, including friendly buffs and summoner skills.  -[Q Mouth of the Beast] will follow the enemy. When you hold down this skill key, even if the enemy uses running, rushing or teleporting skills, Warwick will follow them and appear in the corresponding position. ","-Warwick basic attack will heal him when his health is low. Save your control skills for his residual blood, don't give him a chance to fight back.  -Warwick will be strengthened when fighting against enemies with low health. Maintain your health and don't let him take advantage of it.  -Warwick's ultimate ability's cast range can benefit from his movement speed bonus. "
努努和威朗普,,"-Devour allows Nunu & Willump to stay online against enemy ranged heroes.  -If an opponent is about to run out of range, you can choose to interrupt Absolute Zero earlier to cause some damage.  -It is usually beneficial to delay the casting of Absolute Zero until the opponent has used the first-round limit. Try to wait a little longer before rushing into the teamfight. ","-Interrupting the guidance of Absolute Zero skills will reduce the damage your team receives.  -Use the summoner skill to flash, will ensure you escape from the absolute zero skill.  -[The biggest snowball in history! 】Moving very fast but unable to turn quickly, so try not to run in a straight line, but to make a sudden, large-angle turn. "
厄运小姐,Miss Fortune,"-Miss Fortune will increase her speed if she has not been hurt recently. Avoiding attacks can make her move very quickly.  -If the enemy hero is hiding behind the minion, use one arrow with two birds on the farthest enemy minion; it will bounce to the enemy hero and cause a lot of damage.  -When the [Stride Meteor] is not yet cooling down, try to use [Doom’s Favor] to maximize the duration of the attack speed bonus. ","-Miss Fortune's acceleration will be removed by our damage.  -If you can catch up with Miss Fortune, she is very tolerant of Master Yi being killed. Target her first in team combat. "
艾希,Ashe,"-Try to predict the direction of the enemy to launch magic crystal arrows, so as to increase the shooting hit rate.  -Arrows fired by all arrows will be blocked by the first enemy hit, so please pay attention to the distance to prevent all arrows from being absorbed by the enemy's front row hero.  -Eagle strikes the sky to detect targets in the wild area, which gives you a great advantage in combat in the wild area. ","-Ashe has almost no defensive skills, so it is a priority gank target.  -If Ashe hasn't cast her [Magic Crystal Arrow] for a period of time, you must be especially careful when moving on the map. "
泰达米尔,Tryndamere,"-Delaying the activation of Endless Fury is an effective way to encourage the enemy heroes to want to kill you too aggressively.  -Bloodthirsty killing is an effective way to treat Tryndamere, try to activate it before the buff disappears.  -If the enemy stacks armor, you can buy the last whisper or ghost of dreams. ","-Harass Tryndamere as early as possible, so that it cannot kill minions and restore health through bloodthirsty killing skills.  -Remember: Tryndamere can only slow you down if his back is facing away.  -Tryndamere mostly caused physical damage. If he becomes too powerful, consider buying Armor of Thorns. "
贾克斯,Jax,"-Jax's jump cut can be cast on allied forces, including scout guards, you can use this to escape the enemy's pursuit.  -Equipment such as Guisuo's Rage Blade and Hextech Gun Blade and other material double bonus equipment are of great benefit to Jax. ","-Injure Jax through short bursts, don't get too close to him. By not allowing him to attack continuously, he can greatly reduce the damage he causes.  -Jax can dodge all upcoming normal attacks in a short time, and stun the surrounding enemies after the end. Please wait until his dodge is over before attacking. "
莫甘娜,Morgana,"-Using the dark shield wisely can determine the outcome of the team battle.  -Survivability-enhancing items can make Morgana extremely difficult to kill when using the Dark Shield and Soul Shackles in combination.  -If you are the only one in the army, pain and corrosion can effectively help you make money. ","-[Shadow of Torment] will cause tons of damage to enemies who have lost a lot of health. When your health is low, watch out for Morgana's attempts to lure you into its range.  -Morgana often needs to use [Q Dark Imprisonment] to initiate other attacks, using the minions as shields to avoid [Q Dark Imprisonment].  [E Dark Shield] makes Morgana immune to limiting effects, but this shield can be bombarded by magic damage. "
基兰,Zilean,"-You can use [Q Time Bomb] and [W Shuttle Future] continuously to quickly drop two time bombs on one target. Placing the second bomb will detonate the first one and stun nearby enemies.  -[E-Time Clockwork] allows friendly forces to chase down the enemy or escape from defeat.  -[R Back in Time] can effectively protect the main output hero of the team, but using this skill too early will cause the enemy to shift the attack target and reduce the effect. ","-If you can keep up with Zilean's speed, you can wait until the effect of his ultimate ability is gone, and then make a fatal blow.  -Zilean is very easy for Master Yi to die under the fire, but it is difficult to be single killed. When you want to kill him, ask your team to focus their firepower. "
辛吉德,Singed,"-Toxic trails are very effective in fighting money and harassment, allowing Singed to dominate the situation on his line.  -Use crazy potions to lure the enemy into hunting you on the poisonous trail.  -Throwing enemies into your tower can cause huge damage to them. ","-Keep a certain distance to avoid being thrown into the enemy by being thrown over your shoulders.  -Singed must be close to your team to use his skills. Take advantage of this and use control skills to restrict his movement when attacking his allies.  -Be careful when chasing Singed, he is hard to be defeated, and while you chase, he can use poisonous trails to cause damage to you. "
伊芙琳,Evelynn,"-The preparation time for [Induction] may seem a bit long, but its charm and magic resistance to crushing effects will bring Evelynn a great advantage, so the wait is worth it.  -When sneaking, pay attention to whether you are detected by the enemy hero. You can recognize it by the gradually turning yellow and red eyes on the head of the enemy hero.  -When the HP is low, Evelynn can use the healing effect of [Demon Phantom] and [Disguise] to return to the battlefield and hit the enemy by surprise. ","-Purchasing a control guard can help you detect Evelynn's location and prepare for her ambush.  -A large part of Evelynn's threat lies in her charm effect ""seduce"". Protect those allies with the ""bait"" mark, or, if you are marked, make sure your allies are between you and Evelynn where they might attack.  -If you guess that Evelynn has left your battle line, you can let allies know by typing and marking on the minimap. "
图奇,Twitch,"-Twitch is one of the heroes with the highest attack speed in the game. Try to buy items with attack effects such as Black Cutter, or Wisdom End Blade.  -[E Toxic Eruption] has a large area, try to stack more layers of [Death Venom] on the opponent before using it.  -You can use [W Toxic Barrel] to catch up with enemies who are out of range. ","-Twitch is fragile. You can grab him and pour firepower while he is out of disguise.  -Spell shields cannot block the damage of death venom, but they can block the effect of Twitch from casting a poison burst.  -If you guess that Twitch has left the line, please inform your teammates as soon as possible. "
卡尔萨斯,Karthus,-Let your allies help and tell you when to use Requiem to kill opponents on different lines.  -It is very effective to use Desolation to fight money and harass enemy heroes. ,"-Karthus can cast short-term skills after death. Stay away from his body to keep it safe.  -Make sure you have enough health to survive the Requiem, although this means you have to return to the base often to restore health. "
科加斯,Cho’Gath,"-Adjust the angle of the basic attack as much as possible, so that the Void Spike can kill enemy minions and damage enemy heroes at the same time.  -If you have trouble eating heroes, eat more pawns to make yourself bigger.  -Combination of Rupture and Meat Eater can increase health and mana very well. ","-Buying some health-increasing items can reduce the chance of being quickly killed by Cho’Gath.  -Concentrate on preventing Cho’Gath from reaching its maximum size.  -Before the burst skill is released, there will be a cloud of smoke on the ground nearby. You have to pay more attention to this and prevent Cho’Gath from combos. "
阿木木,Amumu,"-Amumu is extremely dependent on teammates, try to be on the same line with allies to achieve the greatest effect.  -Amumu with reduced cooling time is very strong, but it is difficult for him to obtain cooling reduction through equipment. Killing the blue glyph golem gains a buff to reduce the cooldown time without sacrificing equipment value.  -The Aura of Despair is very effective against other tanks, ensuring that your Aura of Despair can attack the opponent's hero with the highest health. ","-When Amumu casts ultimate nirvana, avoid getting together with allies.  -Frequent movement or hiding behind minions can prevent Amumu's bandage traction skills from hitting you.  -Amumu's desperate aura damages in proportion to life, so the effect of purchasing items that increase health is not necessarily ideal. "
拉莫斯,Rammus,"-Power sprint can be used as an effective escape method.  -Taunting the enemy near your defensive tower can make the defensive tower attack the enemy.  -Earth Shake and Spike Defense can be used to destroy towers in the late game (Earth Shake is effective for buildings). If you get stuck in a team battle, you can turn to attack buildings. ","-Attack Rammus when he doesn't use spike defense, because when Rammus doesn't use this skill, his attributes are much lower than the average tank hero.  -Rammus usually piles up armor, when he is not defending with spikes, leave him to the mage to solve it. "
艾尼维亚,Anivia,"-At the right time, using the combination of Frost Shine + Frost Cold will cause devastating damage to the enemy.  -Anivia is extremely dependent on mana when releasing glacial storms. Try out some mana props or kill the blue glyph golem to get its buff.  -Her phoenix egg is difficult to be killed by enemy heroes in the early stage, you can attack fiercely to take advantage. ","-Try to gank Anivia when he is on the line. The more people there are, the more Master Yi kills her Phoenix Egg.  -If you are a ranged hero, stay away from Anivia as much as possible to avoid the ice sparkle skills.  -Attack Anivia on the line because she can block the path with a low-level ice barrier in the jungle. "
萨科,Shaco,"-Using [Q Fraud Magic] to cross the terrain can help you escape cleanly.  -Try to buy items with additional attack effects, which will also help your illusion.  -Effects that increase critical damage such as Infinite Blade can increase the damage of backstabs. ","-If Shaco performed well early, it would be worthwhile to deploy the scout guards near his creep camp to fight him.  -If Shaco uses [Fraud Magic] to enter the battlefield, he will not be able to re-use the skill in a short time. Use this opportunity to quickly defeat him with your team. "
蒙多医生,,"-A well-timed last fight can lure enemy heroes to attack you, even if they do not have enough attack output to destroy you.  -Invigorating armor can increase the life value restored by using the ultimate special move and shorten the cooldown time of all skills.  -The butcher knife is very powerful against neutral monsters. You can use neutral monsters to fight money until the ultimate nirvana can heal you without returning to the base. ","-After Dr. Mundo uses the ultimate special move, immediately use powerful attack skills with his teammates. If he can't kill him immediately, he will quickly restore his health.  -When Dr. Mundo uses a backwater fight to consume part of his health, thereby temporarily increasing the movement speed and greatly increasing the life recovery speed, try to use ignition. "
娑娜,Sona,"-When Sona's aura is activated, make sure to stay close to your teammates to provide the effect, while avoiding being attacked by the enemy.  -Save the [R Wild Dance Final Movement] until the moment the situation changes.  -Use [W Fortitude Aria] at the right time to maximize your survivability. ","-Disperse when you see Sona to avoid her casting spells to make you dance with your allies.  -Kill Sona first, because if she stays alone for a long time, she will heal allies. "
卡萨丁,Kassadin,"-Kassadin has multiple equipment routes. He can be a mage through mana and spell power equipment, or use cooldown reduction and magic resistance equipment to fight the opponent's mage.  -Kassadin's ultimate skills have many uses and have a shorter cooldown than most ultimate skills. You can use it as a regular skill.  -Try to get the blue glyph golem buff to buffer [R Void Walk]'s increasing mana consumption. ","-Kassadin mainly deals magic damage to the target. If the development goes well, consider buying magic resistance equipment such as Mercury Boots and Banshee Veil to resist him.  -Every time Kassadin uses [R Walk in the Void] continuously, more mana will be consumed. Keep this in mind when you pursue him.  -Kassadin needs 6 recharges (there are heroes cast skills around) to cast [E Energy Pulse] to slow the target. If he upgrades the skill, you'd better use your skill wisely, because you will charge Kasadin while casting the skill. "
艾瑞莉娅,Irelia,"-On your way to the target hero, first use [Blade Impact] to attack the low-life minions, and then use [Blade Impact] to attack the target hero, you can move a long distance instantly.  -[Dance of Distance Break] cannot be interrupted by the control effect, you can try to use it to avoid the upcoming control effect.  -[Double Blades of Bi Wing] There is no maximum flying distance, try to use it in creative ways. ","-Pay more attention to the number of layers of [Ionian Frenzy], and try to fight Irelia when it just disappears.  -The line of troops can greatly enhance Irelia's mobility. Don't fight her when she is in a large group of small soldiers.  -Don't pour your important skills on the [Ranking Blade]. "
迦娜,Janna,-The Eye of the Storm can be used on friendly towers.  -Quickly send out a hurricane whistle (don't accumulate power) to control the opponent team well.  -Janna's ultimate skill can push the enemy away from the injured allies or even disperse the enemy. ,"-Reserve an interrupt skill for Janna's ultimate skill.  -Pay attention to the sound of the hurricane's whistling and accumulating power, in case Janna is behind the screen or the woods surprise.  -Janna assists allies in the strongest state. Harassing her allies can weaken Janna's threat to you. "
普朗克,Gangplank,"-Gunfire negotiation can have an attack effect like Frost Hammer or Black Cleaver.  -Pay attention to enemies with low health on the map, you can suddenly use the cannon screen to kill him.  -Try to put the cannon screen on the escape runway to intercept the deserters. ","-Gunfire negotiation can cause high physical damage. If the enemy's Gangplank performs well, then items that provide armor will be of great benefit to you.  -Once Gangplank reaches level 6, pay attention to his ultimate all-map skill, the cannon screen! "
库奇,Corki,"-Phosphorescent bombs can be used to expose enemies hiding in nearby grass.  -Valkyrie dive can also be used to defend yourself, try to use it to escape quickly.  -Corki can also perform normal attacks when using the Grim machine gun. Maximizing the damage of the Green machine gun is the key to mastering Corki. ","-Be careful of the splash damage of Corki's phosphorescent bomb, even if you hide behind the creeps, you will be injured.  -Corki becomes vulnerable after using [Valkyrie Dive] or [Special Express]. If Corki uses these skills to cut into the battlefield, he can turn his attention to him. "
卡尔玛,Karma,"-Energizing Flame encourages aggressive play. Find opportunities to throw skills and basic attacks on your opponents to reduce the cooldown of the mantra and maintain the attacking posture.  -When using Perseverance, first use the psychic flame to slow down your enemy, or use encouragement to strengthen your speed, which can help you solve the trouble of not keeping up with the target.  -When there are mantras, don't be too conservative. Gathering Flame is the most powerful teamfighting skill, so you can charge the Mantra multiple times with less Master Yi. ","-Karma's passive skills will reduce the cooldown of the Mantra when she hits an enemy with her skills and basic attacks. Don't give her a chance to hit you in vain.  -Karma's aura will erupt on the landing area, causing additional damage. Respond faster, and step out of that circle can avoid suffering tons of damage.  -Perseverance is a powerful means of getting out. Keep a distance far enough to avoid being restrained, and seek a chance to fight later. "
塔里克,Taric,"-The cooling reduction part of [Corrective Righteousness] makes the cooling reductions such as [Frost Heart], [Ice Vein Gauntlets] and [Invigorating Armor] especially powerful on Taric.  -Using [Q Starlight Touch] with a low charge number will result in less healing effects brought by the same mana, but the continuous damage of Taric can be greatly increased through [Righteousness].  -Rather than save [R Universe Radiance] until the last moment and put everyone in danger of death during the delay, it is better to cast it as soon as you have a foreboding that the team battle is about to begin. ",-Taric’s ultimate skill [R Universe Radiance] will have a long delay before it takes effect. Try to make a judgment as quickly as possible to see if you can get out of the battle or kill his allies within this delay time.  -Taric’s passive skill [Righteousness Domination] allows him to perform basic attacks on enemies to reduce the cooling time of his skills. Try to fly him a kite in team battles and teach him before the new wave of soldiers arrive. 
维迦,Veigar,"-Use warped space to ensure that the dark matter is successfully hit.  -Veigar is extremely dependent and cool down. Buying some equipment that increases the above attributes will make your passive skills more effective and allow you to cast more dark priests.  -Veigar is very fragile, try to ensure that you have at least one summoner skill to defend yourself. ","-Dark matter can cause great damage, but it can be avoided. Pay attention to the sound and visual instructions to understand when and where the skill is cast.  -The space warp skill only stuns units on the edge. If you are within the skill range and do not cross the edge, you can still move and attack.  -Veigar's ultimate skill damage will increase based on your lost health. "
特朗德尔,Trundle,"-Trundle is good at fighting in the frozen realm. Try to lead the enemy into this area.  -Use supremacy to weaken powerful enemy tanks or let your team focus their firepower.  -Tooth bite can reduce the enemy's physical damage well, try to use this skill for the enemy's physical output hero. ","-Trundle has strong combat capability in specific terrain. Try to get him out of the frozen realm.  -Escape his Pillar of Ice as soon as possible, because it will greatly slow down your speed. "
斯维因,Swain,"-If it is difficult for you to use [Never Go Back] to restrain the enemy, you can try to release this skill while the enemy is close to the enemy minion to surprise him with the explosion.  -When on the pawn line, try to use the penetration damage of [Hand of Liberation] to consume the enemy from a safe distance.  [Imperial Vision] itself is very difficult to hit the enemy, so you should always pay attention to the encounters around the map, and use it against those enemies who are interrupted or controlled, so that Master Yi can hit the enemy more.  -[Demon Ascension] It may make Swain very difficult to kill, but the enemy can also easily get out of the skill range for Master Yi. If the enemy's mobility is too high, you can try to buy some slowing equipment to keep the enemy within the skill range. ","-If you are rooted, Swain's passive will be very strong. Please work hard to deal with enemy heroes who have the ability to freeze.  -High mobility can restrain all basic skills of Swain: [Hand of Liberation] is to cause more damage to enemies that are closer, [Imperial Vision] has a very long delay, and [Never Go Back] must be in It is especially dangerous on the way back.  Purchasing any equipment with the effect of [Serious Injury] means that Master Yi will kill him when Swain opens [Demon Ascension]. "
凯特琳,Caitlyn,"-Make full use of the Yordel traps and take the initiative to ensure that new traps can be placed at any time during the battle.  -Don't use letting bullets fly in team battles, because it is easy for Master Yi to be missed by other targets.  -Launch a 90-caliber rope net to stay away from the enemy, close the distance or go through walls. ","-If Caitlyn uses Peace Messenger to harass you, remember to hide behind your creeps (so you will suffer less damage).  -If you stand on the launch path that lets the bullet fly, you can help the friendly forces intercept the bullet. "
布里茨,Blitzcrank,"-Mechanical flying claws, energy iron fist and electrostatic force field 1  -2  -3 combination can destroy a single opponent.  -Use Blitzcrank's grab to pull an enemy into the range of your defense tower, and then an energy fist can make the defense tower shoot them multiple times. ",-Blitzcrank's passive skill [Mana Barrier] can provide a damage-absorbing shield when he is dying.  -Hiding behind the creeps can prevent being caught by Blitzcrank. Blitzcrank's mechanical flying claws can only catch the first enemy it encounters. 
墨菲特,Malphite,"-Armor can reduce the attrition speed of the granite shield when it is attacked by the enemy. Therefore, activating the barbaric strike before the enemy destroys the shield can strengthen the shield's ability to withstand physical damage.  -Although most of his skills can increase damage through armor, some games still require Malphite to have magic resistance. When this happens, you can try to buy items such as the Legion’s Aegis, Mercury Boots and Guardian Angels. ","-If you are a physical damage hero, stand behind allies when attacking Malphite. A major earthquake tremor will greatly reduce your injuries.  -Malphite is one of the few tanks with jungle capabilities. If you see Malphite bringing punishment, you must be careful. "
卡特琳娜,Katarina,"-Picking up the dagger will significantly reduce the cooling time of [E Shunbu].  -When the enemy is fighting with us, use [E Shunbu] to join the battle and release a devastating [R Death Lotus].  -Using instant step on friendly heroes, daggers or minions is a good way to escape. ","-Katarina's skills cause magical damage to the target, although she buys items that increase her attack, you can also use magic resistance to deal with it.  -It is recommended to reserve a restricted skill for Katarina's Death Lotus. "
魔腾,Nocturne,"-It is very cost-effective to cast ultimate skills at the very moment, even if you can't use it to advance.  -The Path of the Nightmare is not only an attack skill, but also allows you to stay away from battle or escape from a mortal situation.  -Use the dark shelter when the ultimate skill rushes, and it may cause the panic enemy to waste a restricted skill on your shield. ","-When Nocturne casts ultimate skills, stand a little closer to your allies, so that you can fight the enemy together!  -Nocturne's silent fear has a range limit, so reserve your movement skills so that you can escape when Nocturne casts this skill. "
茂凯,Maokai,"-Saplings can be thrown into the grass to gain enhancement effects-but they will not stack either.  -Try not to cut in from the front, from the side or from other angles, which will make the natural grip inevitable or give the enemy a ""surprise"".  -Maokai's passiveness will make him particularly persistent in the face of skill concentration-provided that he can still perform basic attacks. ","-The sapling will chase the first enemy that is too close to it, but it will explode after a few seconds or collide with other enemies. Be especially careful with the saplings in the grass, because they are more dangerous.  -The cooldown of Maokai's self-healing depends heavily on the number of times you hit him with your skills. Be careful not to waste extra skills on him.  -Maokai will not take damage when using Twisted Spikes, so don't waste your skills at this time. "
雷克顿,Renekton,"-Rampage is great for harassment. First release the skill to enter, then use the direct hit to return to a safe position after triggering.  -In the furious state, the tyrant's frenzy can draw extra health, you can make the enemy underestimate you by mistake.  -Cooldown reduction is a good attribute for Renekton, you can quickly acquire and use rage. ","-When Renekton is angry enough, be extra careful, because it usually signifies that he is ready to attack.  -By continuously harassing Renekton, preventing him from attacking and gaining anger, the effect of his skills can be greatly reduced. "
嘉文四世,Jarvan IV,"-You can use the dragon strike and the German flag to leave the circular obstacle formed by the ultimate skill.  -In the early stage of team battle, attacking each hero instead of attacking one hero can maximize the damage of the war rhythm.  -You can use the German flag as a reconnaissance tool. ","-Stay away from the path between Jarvan IV and his ensign to avoid being knocked into the air.  -Although the ring-shaped obstacles are frightening, moving skills can help you pass through. "
伊莉丝,Elise,"-Spider form is very effective when harvesting residual blood enemies; human form neurotoxin can cause more damage to enemies with abundant life.  -In spider form, the little spider will attack the target that has been cast by Elise with a poisonous sting.  -Elise's spider form and spider skills do not consume mana, and can be used first when you want to save mana. ","-When your health is low, Elise's spider form will be more dangerous, and when your health is high, her human form will be more threatening.  -Coiling will only cause Elise to move vertically up and down, unless she lands on an enemy unit.  -The cooling time of the coil is very long. After using this trick, Elise will be attacked by Master Yi. "
奥莉安娜,Orianna,"-[E Command: Defense] can be used for yourself to make the magic puppet return to you faster. Cooperating with [E Command: Defense] and [Q Command: Attack] can quickly harass the enemy.  -If the golem is in Orianna's hands, then [W Command: Noise] is a very powerful escape skill. While accelerating, it can also slow down the enemy. The effect is very powerful.  -If you control the position of the magic puppet correctly, [R Command: Shockwave] can let you draw closer or stay away from the enemy. ","-Orianna can only affect the area near the magic puppet. Use this to create an advantage.  -Be careful of the golem returning to Orianna, there may be unexpected things happening. "
孙悟空,Wukong,-Using Tengyun Assault and True and False Monkey King can quickly attack the enemy and retreat before they retaliate.  -Try to use the real and fake monkey king near the grass to fool the enemy. ,-Wukong usually uses True and False Monkey King after using Tengyun Assault. Keep your skills and make sure you hit Wukong's real body.  -Wukong becomes more difficult to kill when surrounded by enemies. Try to isolate him first to gain an advantage. 
布兰德,Brand,"-You can use skills to ignite the minions near the enemy heroes, and then use the fire to splash to the enemy heroes.  -You can freely combine Brand's skills and combo attacks.  -Flame Storm bounces randomly among surrounding enemies. If you want to bounce on the same target multiple times, it is best to cast this skill on a small number of enemies. ","-Brand must cast a skill before combing. Avoiding the flame brand or the pillar of flame can disrupt his rhythm.  -When you see Brand cast a flame storm, stay away from allies. The initial flight speed of this skill is slow, and your team has a certain reaction time.  -Brand's passive skills make him particularly good at dealing with enemies that gather together. Please make sure that the formation has been dispersed when dealing with him. "
